name,categories,address,lat,lng,distance,code
Business Bay Creek,Cultural & Historical,Business Bay,25.1913708307773,55.2938503721001,478,6
Van Gogh Exhibition,Cultural & Historical,Fashion District,25.189783,55.300602,593,6
Pool @ Windsor Manor Downtown,Sports,,25.1924318494067,55.2917509621656,678,6
The Butcher Shop & Grill,Restaurant & Food,Mirdiff City Centre,25.1911194005765,55.2880847270033,849,6
Asiana Hotel,Hospitality,Salahuddin Rd.,25.2696909978265,55.3250134967225,165,7
Manila Grill,Restaurant & Food,Al Murraqabat,25.2702132054097,55.3252628816379,140,7
Lamesa,Restaurant & Food,Asiana Hotel,25.2697630910435,55.32508638514490,156,7
Boracay,Entertainment,Asiana Hotel,25.269626594545,55.3252511861346,143,7
Taza,Restaurant & Food,Al Salahudin Road,25.2702296148647,55.3241681960012,249,7
Makati Pinoy's Laugh Factory,Entertainment,Asiana Hotel,25.2696557320982,55.3252072624212,146,7
Marriot Executive Lounge,Entertainment,,25.2691030330791,55.3295406554749,308,7
Fresh Fish,Restaurant & Food,"Al Muteena Street, 55",25.2740200172115,55.3230730783701,576,7
Patchi,Restaurant & Food,Muraqqabat,25.2648881733933,55.3273271940283,568,7
Samad Iraqi Restaurant (مطعم صمد العراقي),Restaurant & Food,Deira,25.2677734751765,55.3217336528063,549,7
Aroos Damascus Restaurant (مطعم عروس دمشق),Restaurant & Food,Al Jazeera St,25.268080266893,55.3212123934996,583,7
Brands For Less,Retail,Al Muraqqabat,25.2676210800556,55.32224367235110,512,7
Bait al Mandi (بيت المندي),Restaurant & Food,Al Murraqabat Rd,25.2648012947429,55.327605107119700,582,7
Spice Island,Restaurant & Food,"Salah Al Din Road, Deira",25.2704241573892,55.3266653295892,52,7
WESTZONE Supermarket,Retail,Al Murraqabat Rd,25.2664760219188,55.3240945288699,463,7
Griffins Health Club,Sports,"Abu Baker Al Siddique Rd, Deira, next to Hamarain Shopping Center,P.O. Box 16590 · Dubai, United Arab Emirates",25.2684391740163,55.329608127105,344,7
Arbil Iraqi Restaurant (مطعم أربيل العراقي),Restaurant & Food,Al Mutena Road,25.2741458088761,55.3225577516123,620,7
AL Shami Restaurant,Restaurant & Food,"Al Muraqqabat Street, Opposite Pachi",25.264991209637,55.3273846299369,557,7
Al Safadi (الصفدي),Restaurant & Food,Al Rigga,25.2631098223599,55.3251353421211,776,7
Caribou Coffee,Restaurant & Food,Al Rigga Rd,25.2649000978413,55.3209419205903,802,7
Al Sheraa Fisheries Center,Restaurant & Food,Salahuddin Rd,25.2703246469952,55.3205464673649,613,7
Calicut Notebook,Restaurant & Food,,25.2735422263086,55.3297819837528,510,7
Crowne Plaza Dubai,Hospitality,"Salahuddin Road, Deira",25.2706957,55.3269599,89,7
Coral Deira Hotel,Hospitality,Al Muraqqabat St. Deira,25.2658495026565,55.325514708436100,470,7
Kebab Erbil Iraqi Restaurant (كباب إربيل العراقي),Restaurant & Food,Al Rigga Rd,25.2621095185058,55.32678943238610,873,7
Yakitate Japanese Boutique Cafe,Restaurant & Food,Inner streer Al Ghurair Centre,25.268362538423,55.318122518604,874,7
Qwaider Al Nabulsi Restaurant & Sweets مطعم وحلويات قويدر النابلسي,Restaurant & Food,Al Muraqabat Street,25.2667986048526,55.323195292604,492,7
Crowne Plaza Club Lounge,Hospitality,,25.2706963302844,55.32688857921530,86,7
YAS Island,Restaurant & Food,,25.2628529176425,55.3234188493245,854,7
Hyatt Place Dubai/Al Rigga,Hospitality,"Al Rigga Road, Near Rigga Metro Station",25.2629556993331,55.3277232128953,786,7
Spinneys,Retail,Cedre Shopping Center,25.1271250857141,55.3967026823027,226,8
On The Wood,Restaurant & Food,Dubai Silicon Oasis واحة ربي للسيليكون,25.1275008358461,55.394317684029300,43,8
Oregano,Restaurant & Food,Cedre Community Center,25.1269759312916,55.3970146179199,261,8
MASSAAD BBQ farm to table,Restaurant & Food,Cedre Villa Community Centre,25.1274969418909,55.396752774833300,221,8
Starbucks,Restaurant & Food,Souq Extra,25.118973576114,55.3947589148587,983,8
Souq Extra!,Retail,,25.1195922812239,55.3956670697176,921,8
McDonald's (ماكدونالدز),Restaurant & Food,,25.119683588117,55.3958264584074,913,8
My sandwich,Restaurant & Food,Al waha mosque 3,25.1246,55.4013,765,8
Haru Robatayaki,Restaurant & Food,,25.1277439792674,55.3967530138697,218,8
The Oriental Chef,Restaurant & Food,Cedre Shopping Center,25.1274399046549,55.394351763145900,47,8
Starbucks (ستاربكس),Restaurant & Food,Cedre Shopping Center-Silicon Oasis,25.12,55.39,984,8
Cedre Shopping Center,Retail,Dubai Silicon Oasis,25.127181,55.396973,250,8
Carrefour,Retail,Souq Extra! Shopping Complex,25.1196352153447,55.3956462044874,916,8
Cha Cha Chai,Restaurant & Food,Danube BUILding,25.1188697345324,55.3942391156066,995,8
Starbucks,Restaurant & Food,Souq Extra-Dubai Silicon Oasis-DriveThru,25.120255,55.394772,841,8
Fitness4Life,Sports,Cedre Shopping Center,25.1275283719353,55.3944089746512,35,8
La Brioche,Restaurant & Food,Dubai Silicon Oasis,25.118818,55.39448,1000,8
KFC (كنتاكي),Restaurant & Food,,25.119958845475,55.3959279913214,884,8
Luxury Mandi Restaurant,Restaurant & Food,"Le Solarium Tower, Ground Floor, Dubai Silicon Oasis",25.1224999,55.3976407,666,8
Bayti,Restaurant & Food,Le Solarium Building,25.1226082370232,55.3978896100229,667,8
Fitness4Life Premier,Sports,High Bay Business Center,25.1326035619995,55.3875961951255,883,8
Marble Slab Creamery,Sports,Dubai Silicon Oasis,25.1274661145297,55.3943852171654,43,8
Omah Ku,Sports,Dubai Silicon Oasis,25.1274940096206,55.394336428899300,42,8
Cedre Villas Green Zone,Entertainment,DSO,25.1274674504721,55.3943730260621,43,8
Supercare Pharmacy,Retail,Cedre Shopping Center,25.1274679664097,55.3943553500847,44,8
Hallmark,Retail,Cedre Shopping Center,25.1274840159136,55.3943869537778,41,8
Cedre Villas Pool - Phase 2,Sports,Dubai Silicon Oasis,25.1274720250369,55.394357720550500,43,8
Al Shorafaa Restaurant,Restaurant & Food,Le Solarium,25.1226925747546,55.3978307835632,656,8
Green Belt Supermarket,Retail,Dubai Silicon Oasis,25.1216809520929,55.3979155269127,760,8
Sharaf DG,Retail,Abu Dhabi Mall,25.123161,55.39141,608,8
Al Marhabani Restaurant مطعم المرحباني,Restaurant & Food,مقابل القيادة العامة لشرطة دبي,25.2804147270044,55.3544507017429,668,9
Dar El Hay Cafe,Restaurant & Food,Opp. DXB Airport,25.269551724063,55.3551438598325,724,9
Al Fareej Resturant & Bakery مطعم ومخبز الفريج,Restaurant & Food,"Al Tuwar, near the mosque and Park behind EPCO",25.2716427645403,55.3658537196022,880,9
Rashed Stadium ستاد راشد,Sports,Opposite Dubai Police HQ,25.2796525430031,55.3602748014765,512,9
Lulu Centre,Retail,Al Nahda Rd,25.2793019505892,55.3620091405134,575,9
مطعم بحر الامارات Emirates Seafood Restaurant,Restaurant & Food,Hor Al Anz East,25.2804175953381,55.3514703729098,873,9
Al Yamen Restaurant مطعم اليمن,Restaurant & Food,"Abu Hail, Behind The Grand Station",25.2818656457816,55.3529121701627,890,9
Baskin-Robbins,Restaurant & Food,Hor Al Anz,25.2805518246314,55.3510958088916,912,9
El prince El Amour (البرنس الأمور),Restaurant & Food,Abu Hail,25.280720287459,55.3528635282795,794,9
Baqer Mohebi Supermarket,Retail,Abu Hail,25.2777316778478,55.3506960396576,796,9
Tasheel,Business,Opp Al Mullah Plaza,25.2844006112498,55.3579461951904,996,9
مطعم المسكوف العراقي,Restaurant & Food,,25.2805561475028,55.3533648043382,747,9
Koukh Al Shay (كوخ الشاي),Restaurant & Food,Abu Hail,25.280005517639,55.3526283605982,755,9
Al Damyati Foul & Falafel,Restaurant & Food,,25.2690435111569,55.3549066147092,786,9
Bu Mhayyar,Restaurant & Food,,25.2692598693683,55.3552458502806,750,9
Juicy Café,Restaurant & Food,,25.2782637466571,55.35217087314,682,9
Kanaka Speciality Coffee,Restaurant & Food,Mamzar Center,25.280159,55.35346,708,9
McDonald's (ماكدونالدز),Restaurant & Food,Al Bustan Center & Residence,25.2740936852623,55.3665083736627,850,9
Bangkok Town,Restaurant & Food,,25.2801275713191,55.351154349562,879,9
